,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1100-001,Field Instrument Air Piping and Tubing Layout of GT1-1 (1/2),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2107,王鵬豪  Ext.:25199,IN-0146,A
1,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1100-002,Field Instrument Air Piping and Tubing Layout of GT1-1 (2/2),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2108,王鵬豪  Ext.:25199,IN-0146,A
2,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1100-003,Field Instrument Air Piping and Tubing Layout of GT1-2 (1/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2109,王鵬豪  Ext.:25199,IN-0146,A
3,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1100-004,Field Instrument Air Piping and Tubing Layout of GT1-2 (2/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2110,王鵬豪  Ext.:25199,IN-0146,A
4,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1100-005,Field Instrument Air Piping and Tubing Layout of GT1-2 (3/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2111,王鵬豪  Ext.:25199,IN-0146,A
5,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1100-006,Field Instrument Air Piping and Tubing Layout of GT1-2 (4/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2112,王鵬豪  Ext.:25199,IN-0146,A
6,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1200-001,Field Instrument Air Piping and Tubing Layout of HRSG1-1 (1/2),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2101,王鵬豪  Ext.:25199,IN-0146,A
7,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1200-002,Field Instrument Air Piping and Tubing Layout of HRSG1-1 (2/2),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2102,王鵬豪  Ext.:25199,IN-0146,A
8,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1200-003,Field Instrument Air Piping and Tubing Layout of HRSG1-2 (1/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2103,王鵬豪  Ext.:25199,IN-0146,A
9,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1200-004,Field Instrument Air Piping and Tubing Layout of HRSG1-2 (2/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2104,王鵬豪  Ext.:25199,IN-0146,A
10,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1200-005,Field Instrument Air Piping and Tubing Layout of HRSG1-2 (3/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2105,王鵬豪  Ext.:25199,IN-0146,A
11,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1200-006,Field Instrument Air Piping and Tubing Layout of HRSG1-2 (4/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2106,王鵬豪  Ext.:25199,IN-0146,A
12,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1300-001,Field Instrument Air Piping and Tubing Layout of ST1 (1/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2113,王鵬豪  Ext.:25199,IN-0146,A
13,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1300-002,Field Instrument Air Piping and Tubing Layout of ST1 (2/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2114,王鵬豪  Ext.:25199,IN-0146,A
14,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1300-003,Field Instrument Air Piping and Tubing Layout of ST1 (3/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2115,王鵬豪  Ext.:25199,IN-0146,A
15,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1300-004,Field Instrument Air Piping and Tubing Layout of ST1 (4/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2116,王鵬豪  Ext.:25199,IN-0146,A
16,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1300-005,Field Instrument Air Piping and Tubing Layout of Compressed Air System Area (1/2),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2117,王鵬豪  Ext.:25199,IN-0146,A
17,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1300-006,Field Instrument Air Piping and Tubing Layout of Compressed Air System Area (2/2),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2118,王鵬豪  Ext.:25199,IN-0146,A
18,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1300-007,Field Instrument Air Piping and Tubing Layout of Condensate Storage Area (1/2),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2172,王鵬豪  Ext.:25199,IN-0146,A
19,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-1300-008,Field Instrument Air Piping and Tubing Layout of Condensate Storage Area (2/2),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2173,王鵬豪  Ext.:25199,IN-0146,A
20,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-2100-001,Field Instrument Air Piping and Tubing Layout of GT2-1 (1/2),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2125,王鵬豪  Ext.:25199,IN-0146,A
21,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-2100-002,Field Instrument Air Piping and Tubing Layout of GT2-1 (2/2),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2126,王鵬豪  Ext.:25199,IN-0146,A
22,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-2100-003,Field Instrument Air Piping and Tubing Layout of GT2-2 (1/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2127,王鵬豪  Ext.:25199,IN-0146,A
23,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-2100-004,Field Instrument Air Piping and Tubing Layout of GT2-2 (2/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2128,王鵬豪  Ext.:25199,IN-0146,A
24,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-2100-005,Field Instrument Air Piping and Tubing Layout of GT2-2 (3/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2129,王鵬豪  Ext.:25199,IN-0146,A
25,TPC-TC(C0)-CD-22-0431,IFA,2022/06/24,2022/05/24,XH73-2100-006,Field Instrument Air Piping and Tubing Layout of GT2-2 (4/4),A,A,Field instrument air piping and tubing layout of GT1-1 (1/2)...etc,TC0-1-III02-D2130,王鵬豪  Ext.:25199,IN-0146,A
