,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-0947,IFA,2022/09/25,2022/08/26,XF38A-320R-042,PIPE RACK PR-3203 FOUNDATION PLAN,A,A,Pipe Rack PR-3203 - Structure_RA,TC0-1-CSC02-D3242,陳博仁  Ext.:23341,CB-0363,A
1,TPC-TC(C0)-CD-22-0947,IFA,2022/09/25,2022/08/26,XF38A-320R-043,PIPE RACK PR-3203 FOUNDATION SECTION AND DETAILS (1),A,A,Pipe Rack PR-3203 - Structure_RA,TC0-1-CSC02-D3243,陳博仁  Ext.:23341,CB-0363,A
2,TPC-TC(C0)-CD-22-0947,IFA,2022/09/25,2022/08/26,XF38A-320R-044,PIPE RACK PR-3203 FOUNDATION SECTION AND DETAILS (2),A,A,Pipe Rack PR-3203 - Structure_RA,TC0-1-CSC02-D3244,陳博仁  Ext.:23341,CB-0363,A
3,TPC-TC(C0)-CD-22-0947,IFA,2022/09/25,2022/08/26,XF41A-320R-041,PIPE RACK PR-3203 PLAN (1),A,A,Pipe Rack PR-3203 - Structure_RA,TC0-1-SSC02-D3241,陳博仁  Ext.:23341,CB-0363,A
4,TPC-TC(C0)-CD-22-0947,IFA,2022/09/25,2022/08/26,XF41A-320R-041C,CALCULATION SHEET FOR UNIT PIPE RACK PR-3203,A,A,Pipe Rack PR-3203 - Structure_RA,TC0-1-SSC02-C3241,陳博仁  Ext.:23341,CB-0363,A
5,TPC-TC(C0)-CD-22-0947,IFA,2022/09/25,2022/08/26,XF41A-320R-042,PIPE RACK PR-3203 PLAN (2),A,A,Pipe Rack PR-3203 - Structure_RA,TC0-1-SSC02-D3242,陳博仁  Ext.:23341,CB-0363,A
6,TPC-TC(C0)-CD-22-0947,IFA,2022/09/25,2022/08/26,XF41A-320R-043,PIPE RACK PR-3203 PLAN (3),A,A,Pipe Rack PR-3203 - Structure_RA,TC0-1-SSC02-D3243,陳博仁  Ext.:23341,CB-0363,A
7,TPC-TC(C0)-CD-22-0947,IFA,2022/09/25,2022/08/26,XF41A-320R-044,PIPE RACK PR-3203 ELEVATION (1),A,A,Pipe Rack PR-3203 - Structure_RA,TC0-1-SSC02-D3244,陳博仁  Ext.:23341,CB-0363,A
8,TPC-TC(C0)-CD-22-0947,IFA,2022/09/25,2022/08/26,XF41A-320R-045,PIPE RACK PR-3203 ELEVATION (2),A,A,Pipe Rack PR-3203 - Structure_RA,TC0-1-SSC02-D3245,陳博仁  Ext.:23341,CB-0363,A
9,TPC-TC(C0)-CD-22-0947,IFA,2022/09/25,2022/08/26,XF41A-320R-046,PIPE RACK PR-3203 SECTION AND DETAILS (1),A,A,Pipe Rack PR-3203 - Structure_RA,TC0-1-SSC02-D3246,陳博仁  Ext.:23341,CB-0363,A
10,TPC-TC(C0)-CD-22-0947,IFA,2022/09/25,2022/08/26,XF41A-320R-047,PIPE RACK PR-3203 SECTION AND DETAILS (2),A,A,Pipe Rack PR-3203 - Structure_RA,TC0-1-SSC02-D3247,陳博仁  Ext.:23341,CB-0363,A
