,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-0660,IFA,2022/08/18,2022/07/18,XG31-311R-001,A/G PIPING ARRANGEMENT DRAWING FOR UNIT1 PIPE RACK AREA 311R (1/5),A,A,A/G PIPING ARRANGEMENT DRAWING FOR UNIT 1 PIPE RACK,TC0-1-APD02-D5001,施韋考  Ext.:26356,PP-0124,A
1,TPC-TC(C0)-CD-22-0660,IFA,2022/08/18,2022/07/18,XG31-311R-002,A/G PIPING ARRANGEMENT DRAWING FOR UNIT1 PIPE RACK AREA 311R (2/5),A,A,A/G PIPING ARRANGEMENT DRAWING FOR UNIT 1 PIPE RACK,TC0-1-APD02-D5002,施韋考  Ext.:26356,PP-0124,A
2,TPC-TC(C0)-CD-22-0660,IFA,2022/08/18,2022/07/18,XG31-311R-003,A/G PIPING ARRANGEMENT DRAWING FOR UNIT1 PIPE RACK AREA 311R (3/5),A,A,A/G PIPING ARRANGEMENT DRAWING FOR UNIT 1 PIPE RACK,TC0-1-APD02-D5003,施韋考  Ext.:26356,PP-0124,A
3,TPC-TC(C0)-CD-22-0660,IFA,2022/08/18,2022/07/18,XG31-311R-004,A/G PIPING ARRANGEMENT DRAWING FOR UNIT1 PIPE RACK AREA 311R (4/5),A,A,A/G PIPING ARRANGEMENT DRAWING FOR UNIT 1 PIPE RACK,TC0-1-APD02-D5004,施韋考  Ext.:26356,PP-0124,A
4,TPC-TC(C0)-CD-22-0660,IFA,2022/08/18,2022/07/18,XG31-311R-005,A/G PIPING ARRANGEMENT DRAWING FOR UNIT1 PIPE RACK AREA 311R (5/5),A,A,A/G PIPING ARRANGEMENT DRAWING FOR UNIT 1 PIPE RACK,TC0-1-APD02-D5005,施韋考  Ext.:26356,PP-0124,A
5,TPC-TC(C0)-CD-22-0660,IFA,2022/08/18,2022/07/18,XG31-321R-001,A/G PIPING ARRANGEMENT DRAWING FOR UNIT1 PIPE RACK AREA 321R (1/24),A,A,A/G PIPING ARRANGEMENT DRAWING FOR UNIT 1 PIPE RACK,TC0-1-APD02-D5008,施韋考  Ext.:26356,PP-0124,A
6,TPC-TC(C0)-CD-22-0660,IFA,2022/08/18,2022/07/18,XG31-321R-002,A/G PIPING ARRANGEMENT DRAWING FOR UNIT1 PIPE RACK AREA 321R (2/24),A,A,A/G PIPING ARRANGEMENT DRAWING FOR UNIT 1 PIPE RACK,TC0-1-APD02-D5009,施韋考  Ext.:26356,PP-0124,A
7,TPC-TC(C0)-CD-22-0660,IFA,2022/08/18,2022/07/18,XG31-321R-003,A/G PIPING ARRANGEMENT DRAWING FOR UNIT1 PIPE RACK AREA 321R (3/24),A,A,A/G PIPING ARRANGEMENT DRAWING FOR UNIT 1 PIPE RACK,TC0-1-APD02-D5010,施韋考  Ext.:26356,PP-0124,A
8,TPC-TC(C0)-CD-22-0660,IFA,2022/08/18,2022/07/18,XG31-321R-004,A/G PIPING ARRANGEMENT DRAWING FOR UNIT1 PIPE RACK AREA 321R (4/24),A,A,A/G PIPING ARRANGEMENT DRAWING FOR UNIT 1 PIPE RACK,TC0-1-APD02-D5011,施韋考  Ext.:26356,PP-0124,A
9,TPC-TC(C0)-CD-22-0660,IFA,2022/08/18,2022/07/18,XG31-321R-005,A/G PIPING ARRANGEMENT DRAWING FOR UNIT1 PIPE RACK AREA 321R (5/24),A,A,A/G PIPING ARRANGEMENT DRAWING FOR UNIT 1 PIPE RACK,TC0-1-APD02-D5012,施韋考  Ext.:26356,PP-0124,A
