,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO,DOCDOCCLASS
0,TPC-TC(C0)-CD-22-0603,IFA,2022/08/05,2022/07/05,XF71C-3200-201,RECOVERY WATER TREATMENT PLANT (BLD-3202) HVAC EQUIPMENT SCHEDULE AND AIR FLOW DIAGRAM,A,A,Recovery Water Treatment Plant (BLD-3202) - HVAC System_RA,TC0-1-UZC02-D6201,陳博仁  Ext.:23341,CB-0294,A
1,TPC-TC(C0)-CD-22-0603,IFA,2022/08/05,2022/07/05,XF71C-3200-221,"RECOVERY WATER TREATMENT PLANT (BLD-3202) HVAC EQUIPMENT, DUCT AND PIPING LAYOUT-1",A,A,Recovery Water Treatment Plant (BLD-3202) - HVAC System_RA,TC0-1-UZC02-D6221,陳博仁  Ext.:23341,CB-0294,A
2,TPC-TC(C0)-CD-22-0603,IFA,2022/08/05,2022/07/05,XF71C-3200-222,"RECOVERY WATER TREATMENT PLANT (BLD-3202) HVAC EQUIPMENT, DUCT AND PIPING LAYOUT-2",A,A,Recovery Water Treatment Plant (BLD-3202) - HVAC System_RA,TC0-1-UZC02-D6222,陳博仁  Ext.:23341,CB-0294,A
3,TPC-TC(C0)-CD-22-0603,IFA,2022/08/05,2022/07/05,XF71C-3200-261,"RECOVERY WATER TREATMENT PLANT (BLD-3202) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT-1",A,A,Recovery Water Treatment Plant (BLD-3202) - HVAC System_RA,TC0-1-UZC02-D6261,陳博仁  Ext.:23341,CB-0294,A
4,TPC-TC(C0)-CD-22-0603,IFA,2022/08/05,2022/07/05,XF71C-3200-262,"RECOVERY WATER TREATMENT PLANT (BLD-3202) HVAC POWER, CONTROL AND INSTRUMENT CABLE LAYOUT-2",A,A,Recovery Water Treatment Plant (BLD-3202) - HVAC System_RA,TC0-1-UZC02-D6262,陳博仁  Ext.:23341,CB-0294,A
5,TPC-TC(C0)-CD-22-0603,IFA,2022/08/05,2022/07/05,XF71C-3200-281,"RECOVERY WATER TREATMENT PLANT (BLD-3202) HVAC CABLE LIST, CONDUIT LIST AND INSTRUMENT LIST",A,A,Recovery Water Treatment Plant (BLD-3202) - HVAC System_RA,TC0-1-UZC02-D6281,陳博仁  Ext.:23341,CB-0294,A
6,TPC-TC(C0)-CD-22-0603,IFA,2022/08/05,2022/07/05,XF71C-3200-282,RECOVERY WATER TREATMENT PLANT (BLD-3202) HVAC EQUIPMENT CONTROL FLOW AND WIRE DIAGRAM,A,A,Recovery Water Treatment Plant (BLD-3202) - HVAC System_RA,TC0-1-UZC02-D6282,陳博仁  Ext.:23341,CB-0294,A
7,TPC-TC(C0)-CD-22-0603,IFA,2022/08/05,2022/07/05,XF71C-3200-283,RECOVERY WATER TREATMENT PLANT (BLD-3202) HVAC EQUIPMENT CONTROL SYSTEM I/O LIST-1,A,A,Recovery Water Treatment Plant (BLD-3202) - HVAC System_RA,TC0-1-UZC02-D6283,陳博仁  Ext.:23341,CB-0294,A
8,TPC-TC(C0)-CD-22-0603,IFA,2022/08/05,2022/07/05,XF71C-3200-284,RECOVERY WATER TREATMENT PLANT (BLD-3202) HVAC EQUIPMENT CONTROL SYSTEM I/O LIST-2,A,A,Recovery Water Treatment Plant (BLD-3202) - HVAC System_RA,TC0-1-UZC02-D6284,陳博仁  Ext.:23341,CB-0294,A
9,TPC-TC(C0)-CD-22-0603,IFA,2022/08/05,2022/07/05,XF72-3200-201C,RECOVERY WATER TREATMENT PLANT (BLD-3202) HVAC SYSTEM CALCULATION SHEET,A,A,Recovery Water Treatment Plant (BLD-3202) - HVAC System_RA,TC0-1-UZC02-C6201,陳博仁  Ext.:23341,CB-0294,A
